lote,fecha,linea,maquina,equipo,turno,operador,unidades_producidas,unidades_defectuosas,unidades_reproceso,unidades_scrap,defecto_tipo,peso_promedio,longitud_promedio
L0234,2025-08-22,Línea 2,M02,L2-M02,Tarde,Operador F,1016,38,30,8,Mancha,491.74,118.98
L0235,2025-08-23,Línea 1,M01,L1-M01,Mañana,Operador D,920,33,26,7,Mancha,503.01,119.66
L0236,2025-08-24,Línea 1,M03,L1-M03,Mañana,Operador A,1102,41,26,15,Mancha,498.91,120.3
L0237,2025-08-25,Línea 1,M04,L1-M04,Noche,Operador C,1000,72,51,21,Largo fuera de rango,501.24,120.29
L0238,2025-08-26,Línea 2,M02,L2-M02,Noche,Operador C,1089,45,33,12,Mancha,499.43,118.09
L0239,2025-08-27,Línea 1,M01,L1-M01,Noche,Operador F,1058,44,28,16,Mancha,500.65,119.97
L0240,2025-08-28,Línea 1,M01,L1-M01,Mañana,Operador E,1110,36,29,7,Rayadura,499.52,118.36
L0241,2025-08-29,Línea 2,M01,L2-M01,Mañana,Operador D,961,42,33,9,Rayadura,501.03,120.5
L0242,2025-08-30,Línea 2,M04,L2-M04,Tarde,Operador F,952,52,38,14,Mancha,503.33,121.26
L0243,2025-08-31,Línea 2,M04,L2-M04,Tarde,Operador C,1019,46,34,12,Rayadura,497.19,120.63
L0244,2025-09-01,Línea 2,M01,L2-M01,Mañana,Operador B,995,33,22,11,Mancha,497.65,120.03
L0245,2025-09-02,Línea 1,M04,L1-M04,Mañana,Operador E,1031,50,33,17,Contaminación,495.98,120.53
L0246,2025-09-03,Línea 1,M02,L1-M02,Noche,Operador E,921,44,31,13,Rayadura,497.1,119.65
L0247,2025-09-04,Línea 1,M02,L1-M02,Noche,Operador D,1023,46,34,12,Rayadura,494.07,119.57
L0248,2025-09-05,Línea 1,M01,L1-M01,Tarde,Operador D,931,39,24,15,Peso fuera de rango,499.3,121.24
L0249,2025-09-06,Línea 1,M01,L1-M01,Noche,Operador A,1045,47,33,14,Mancha,496.19,120.82
L0250,2025-09-07,Línea 1,M04,L1-M04,Noche,Operador C,990,69,47,22,Contaminación,500.69,120.8
